Time,"ELEVATION Z","Points:0","Points:1","Points:2","VELOCITY U","VELOCITY V","VELOCITY W"
5000,0.50249,112.74,84.147,12.5,0.23433,-0.00069189,-3.2516e-05
5000,0.5024,148.11,82.655,12.5,0.24627,-0.0040422,1.3914e-05
5000,0.50216,186.56,79.939,12.5,0.26045,-0.0047071,1.9723e-05
5000,0.50189,229.12,78.491,12.5,0.26498,0.0017885,1.6155e-05
5000,0.50165,274.06,79.594,12.5,0.25925,0.0028461,5.6477e-06
5000,0.50142,320.58,78.175,12.5,0.267,-0.010548,-9.1989e-06
5000,0.50095,372.88,75.497,12.5,0.27453,-0.0077337,1.91e-06
5000,0.50037,427.23,74.649,12.5,0.27496,0.0002085,-1.2444e-05
5000,0.50078,391.03,14.647,12.5,0.27069,-0.00227,1.2531e-05
5000,0.50082,447.86,16.728,12.5,0.27213,0.00090523,3.1893e-05
5000,0.50097,418.91,13.532,12.5,0.25186,0.0014356,-1.1476e-05
5000,0.50105,362.34,15.699,12.5,0.28613,0.0048292,3.9391e-05
5000,0.50143,334.86,11.382,12.5,0.24787,0.0040814,-5.9579e-05
5000,0.50141,308.33,13.136,12.5,0.26966,-0.0010149,2.446e-05
5000,0.5016,281.96,13.134,12.5,0.27207,0.0024913,5.6173e-06
5000,0.50175,256.5,11.905,12.5,0.26074,-0.0041302,1.4696e-05
5000,0.50189,231.09,11.555,12.5,0.26009,0.0059922,-5.1171e-05
5000,0.50202,206.01,12.655,12.5,0.27279,-0.0034586,2.8572e-05
5000,0.50215,181.3,12.841,12.5,0.27543,-0.0017538,4.5785e-05
5000,0.50239,157.02,12.235,12.5,0.27525,0.0059018,3.8742e-05
5000,0.50257,133.89,10.417,12.5,0.26178,0.0005376,-4.3065e-05
5000,0.5026,111.58,11.177,12.5,0.27201,-0.0004159,-3.5974e-05
5000,0.50276,89.059,11.483,12.5,0.27258,-0.0020032,-2.5343e-05
5000,0.50286,66.417,10.793,12.5,0.26473,0.00068177,-0.00016054
5000,0.50293,45.099,10.696,12.5,0.26976,-0.0021171,-0.00012134
5000,0.50321,24.116,9.405,12.5,0.28179,-0.020056,0.0003436
5000,0.50342,20.988,49.942,12.5,0.22387,-0.0095183,0.0001876
5000,0.50384,18.997,28.665,12.5,0.23381,0.0011219,0.00050035
5000,0.50274,88.322,69.604,12.5,0.26849,4.9764e-07,-0.00014634
5000,0.50314,17.373,70.087,12.5,0.25504,-0.044809,4.7698e-05
5000,0.50292,20.476,79.486,12.5,0.34194,-0.093219,-0.00028655
5000,0.50035,458.8,38.255,12.5,0.2867,0.022675,3.2723e-05
5000,0.5026,121.78,66.234,12.5,0.27263,-0.0015317,-4.1343e-05
5000,0.50265,105.09,68.205,12.5,0.26955,-0.00080101,-9.1371e-05
5000,0.50289,72.41,68.868,12.5,0.26698,-0.0021124,-0.00014386
5000,0.50218,176.71,61.568,12.5,0.27485,-0.0038296,2.225e-05
5000,0.50195,218.1,58.418,12.5,0.27288,-0.001324,-3.7856e-06
5000,0.50225,157.9,62.693,12.5,0.27445,-0.0024842,1.2838e-05
5000,0.50171,265.43,59.326,12.5,0.27215,0.0016214,-1.0563e-05
5000,0.50202,197,56.819,12.5,0.27382,-0.0024693,1.2075e-05
5000,0.50063,386.9,49.202,12.5,0.27944,0.00030375,-5.4409e-06
5000,0.50172,242.5,56.609,12.5,0.27266,0.0011933,-1.801e-05
5000,0.50106,368.89,32.744,12.5,0.28355,0.0010819,1.019e-05
5000,0.50122,359.5,53.138,12.5,0.28081,-0.0038277,2.1303e-05
5000,0.50089,398.84,31.108,12.5,0.27845,0.0024991,1.9224e-06
5000,0.50303,17.05,18.135,12.5,0.23361,0.050648,-0.00011869
5000,0.5009,384.04,29.09,12.5,0.28186,0.0037831,-4.546e-06
5000,0.50172,250.54,25.083,12.5,0.26759,0.0017038,-1.9392e-05
5000,0.50157,274.32,26.988,12.5,0.26902,0.0032816,7.6744e-06
5000,0.50115,340.35,23.806,12.5,0.26964,0.0069573,7.7941e-06
5000,0.50164,262.2,23.361,12.5,0.26907,0.0024968,-7.9205e-06
5000,0.50152,288.38,27.761,12.5,0.27055,0.0021264,2.7578e-06
5000,0.50215,174.96,27.883,12.5,0.26506,0.00097205,1.5541e-05
5000,0.50246,128.7,22.41,12.5,0.25854,0.0015748,-3.7246e-05
5000,0.50222,161.21,27.819,12.5,0.26469,0.0030631,3.79e-05
5000,0.50211,188.23,27.073,12.5,0.26529,-0.00014833,1.4541e-05
5000,0.50234,138.68,20.694,12.5,0.26084,0.0061371,-2.5705e-05
5000,0.50231,148.93,25.107,12.5,0.26381,0.0046504,3.6644e-05
5000,0.50261,94.478,23.671,12.5,0.25166,0.00073696,-0.00013788
5000,0.50104,351.58,33.858,12.5,0.27291,0.0034542,1.6646e-05
5000,0.5028,71.506,23.015,12.5,0.24245,0.0024779,-0.00016897
5000,0.50258,105.87,23.075,12.5,0.2539,0.00027208,-8.782e-05
5000,0.50276,49.015,22.945,12.5,0.23431,0.0043232,-0.00035019
5000,0.50268,82.931,23.839,12.5,0.24744,0.0014279,-0.00015102
5000,0.5028,60.391,22.7,12.5,0.23816,0.0024134,-0.00025215
5000,0.50274,20.407,39.231,12.5,0.22238,0.0088203,-0.0001649
5000,0.50308,19.577,60.907,12.5,0.23137,-0.018504,2.3547e-05
5000,0.50243,139.49,64.219,12.5,0.27357,-0.0034259,6.2252e-06
5000,0.50276,56.45,68.679,12.5,0.26765,-0.006895,-0.00021638
5000,0.50325,41.3,71.571,12.5,0.26672,-0.010282,-0.00019161
5000,0.50093,415.61,46.533,12.5,0.28404,0.00073325,1.0111e-05
5000,0.50243,31.204,80.004,12.5,0.30515,-0.003934,-0.00073762
